,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
2,1/17/20,Phoenix Tree Holdings Ltd. ,DNK,Citigroup/ Credit Suisse/ J.P. Morgan,13.5,13.5,13.5,0.0
11,1/31/20,Reynolds Consumer Products ,REYN,Credit Suisse/ Goldman Sachs/ J.P. Morgan ,26.0,27.5,28.55,0.0980769230769231
53,5/8/20,Kingsoft Cloud Holdings ,KC,J.P. Morgan/ UBS Investment Bank/ Credit Suisse/ CICC ,17.0,20.37,23.84,0.4023529411764706
60,5/21/20,SelectQuote ,SLQT,Credit Suisse/ Morgan Stanley/ Evercore ISI/ RBC Capital Markets/ Barclays/ Citigroup/ Jefferies,20.0,26.2,27.0,0.35
64,6/3/20,Warner Music Group ,WMG,Morgan Stanley/ Credit Suisse/ Goldman Sachs,25.0,27.0,30.12,0.20480000000000004
65,6/4/20,ZoomInfo Technologies ,ZI,J.P. Morgan/ Morgan Stanley/ Barclays/ Credit Suisse/ BofA Securities/ Deutsche Bank Securities/ RBC Capital Markets/ UBS Investment Ban/ Wells Fargo Securities,21.0,40.0,34.0,0.6190476190476191
71,6/5/20,Shift4 Payments ,FOUR,Citigroup/ Credit Suisse/ Goldman Sachs,23.0,33.0,33.54,0.45826086956521733
76,6/12/20,Avidity Biosciences ,RNA,Cowen/ SVB Leerink/ Credit Suisse/ Wells Fargo Securities,18.0,26.5,28.5,0.5833333333333334
83,6/19/20,Forma Therapeutics Holdings ,FMTX,Jefferies/ SVB Leerink/ Credit Suisse,20.0,40.0,39.0,0.95
84,6/19/20,Genetron Holdings ,GTH,Credit Suisse/ CICC,16.0,16.15,16.0,0.0
116,7/17/20,ALX Oncology Holdings ,ALXO,Jefferies/ Credit Suisse/ Piper Sandler/ Cantor,18.0,36.5,30.0,0.6666666666666666
143,7/31/20,Vital Farms ,VITL,Goldman Sachs/ Morgan Stanley/ Credit Suisse,22.0,35.0,35.26,0.6027272727272727
155,8/6/20,Rocket Companies,RKT,Goldman Sachs/ Morgan Stanley/ Credit Suisse/ J.P. Morgan RBC Capital Markets,18.0,18.0,21.51,0.1950000000000001
167,8/14/20,CureVac N.V. ,CVAC,BofA Securities/ Jefferies/ Credit Suisse,16.0,44.0,55.9,2.49375
187,8/27/20,XPeng ,XPEV,Credit Suisse/ J.P. Morgan/ BofA Securities,15.0,23.1,21.22,0.4146666666666666
238,3/29/19,Lyft ,LYFT,J.P. Morgan/ Credit Suisse/ Jefferies,72.0,87.24,78.29,0.0873611111111112
256,4/18/19,Zoom Video Communications ,ZM,Morgan Stanley/ J. P. Morgan/ Goldman Sachs/ Credit Suisse,36.0,65.0,62.0,0.7222222222222222
258,5/2/19,Beyond Meat ,BYND,Goldman Sachs/ J.P. Morgan/ Credit Suisse,25.0,46.0,65.75,1.63
263,5/3/19,Yunji ,YJ,Morgan Stanley/ Credit Suisse/ J.P. Morgan/ CICC,11.0,13.42,14.15,0.2863636363636364
268,5/9/19,Cortexyme ,CRTX,BofA Merrill Lynch/ Credit Suisse,17.0,20.0,32.89,0.9347058823529412
269,5/9/19,HeadHunter Group PLC ,HHR,Morgan Stanley/ Goldman Sachs/ Credit Suisse/ VTB Capital,13.0,14.66,15.75,0.21153846153846154
283,5/17/19,Fastly ,FSLY,BofA Merrill Lynch/ Credit Suisse/ Citigroup,16.0,21.5,23.99,0.4993749999999999
284,5/17/19,Luckin Coffee ,LK,Credit Suisse/ Morgan Stanley/ CICC/ Haitong Internationa,17.0,25.0,20.38,0.19882352941176465
